'hood	hood
'tis	it's
'tween	between
'tween decks	between decks
-a	-ess, -ette, -ine, -ress, she-, -trix
-a-	o', an', n'
-age	-ery, -ing
-an	-al, -ar, -ese, -esque, -ic, -id, -ish, -like, -oid, -ous, -y
-ana	-ia, -ica
-and	-end, -ee, -ed
-angle	-gon
-ar	-al, -an, -ary, -ese, -ic, -id, -ish, -like, -oid, -ory, -ous, -y
-ass	quasi-, para-, -oid, -form, -iform, -esque, -ish, -ly, -some, -y, -like, as
-ate	-ed, -ous, -ee, -cy
-bloody-	-fucking-, -goddamn-
-boro	-borough
-borough	-boro, -burg, -burgh, -bury
-burg	-burgh
-burgh	-burg, -borough, -boro, -bury
-bury	-borough, -boro, -burg, -burgh
-craft	-work
-cross	-X
-crypt	crypto-, crypt-
-d	-nd, -rd
-el	-cule, -ee, -et, -ette, -icle, -ie, -kin, -le, -let, -ling, -ole, -ule, -y, mini-, micro-, nano-
-end	-and, -ee, -ed
-er	-le
-esque	para-, -oid, -form, -iform, -ish, -ly, -some, -y, -ass, -like
-ess	-a, -ette, -ine, -ress, she-, -trix
-et	-cule, -ee, -el, -ette, -icle, -ie, -kin, -le, -let, -ling, -ole, -ule, -y, mini-, micro-, nano-
-form	quasi-, para-, -oid, -esque, -ish, -ly, -some, -y, -ass, -like
-free	an-, ex-, -less
-fucking-	-bloody-, -goddamn-, -motherfucking-
-ful	-ose
-gene	-gen
-genesis	-gony
-gnathic	-gnathous
-gon	-angle
-gram	-graph
-graph	-gram
-hood	-head, -ness, -ship, -itude, -th, -ia, -ity, -icity, -mony, -osity, -dom
-id	-al, -an, -ite, -ar, -ese, -ic, -ish, -like, -oid, -ory, -ous, -y
-ie	-cule, -ee, -el, -et, -ette, -icle, -kin, -le, -let, -ling, -ole, -ule, -y, mini-, micro-, nano-
-ing	-tion, -ment, -ery, -age
-ion	-ale
-ish	quasi-, para-, -oid, -form, -iform, -esque, -ly, -some, -y, -ass, -like
-ize	-ify, -maxx
-kin	-cule, -ee, -el, -et, -ette, -icle, -ie, -le, -let, -ling, -ole, -ule, -y, mini-, micro-, nano-
-le	-cule, -ee, -el, -et, -ette, -icle, -ie, -kin, -let, -ling, -ole, -ule, -y, mini-, micro-, nano-
-less	an-, ex-, -free
-let	-cule, -ee, -el, -et, -ette, -icle, -ie, -kin, -le, -ling, -ole, -ule, -y, mini-, micro-, nano-
-licious	-riffic, -tacular, -tastic
-like	quasi-, para-, -esque, -ish, -ly, -oid, -form, -iform, -some, -y, -ass
-ling	-cule, -ee, -el, -et, -ette, -icle, -ie, -kin, -le, -let, -ole, -ule, -y, mini-, micro-, nano-
-logia	-arthria, -lalia, -phasia, -phemia, -phrasia
-logy	-ics, -istics, -lore, -s
-mane	-maniac
-maniac	-mane
-mans	-ness
-ness	-ability, -dom, -hood, -ibility, -icity, -ism, -itude, -ity, -osity, -ship, -th
-nigger	-fag
-odd	and change, -some, -something
-ole	-cule, -ee, -el, -et, -ette, -icle, -ie, -kin, -le, -let, -ling, -ule, -y, mini-, micro-, nano-
-or	-er, -ster
-os	-as, -ahs, -ot, -oth
-ose	-ful
-oth	see
-ous	-ate, -y
-pathia	-pathy
-phobe	-phobiac, -phobic
-phobic	-phobiac, -phobe
-phonic	-phonous
-ridden	lousy with, riddled with, -riddled
-ship	-ness, -hood, -itude, -th, -ity, -dom
-something	-odd, -some
-speak	-ese
-spermous	-spermal
-tan	-chan
-thermal	-thermic
-thermic	-thermal
-to-be	later, expectant
-wad	-head
-way	-ward, -wise
-ways	-ward, -wise
-work	-craft
-y	-al, -an, -ial, -ian, -ly, -ous, -esque, -ish, -like, -oid, -cule, -ee, -el, -et, -ette, -icle, -ie, -kin, -le, -let, -ling, -ole, -ule, mini-, micro-, nano-
.22	twenty-two
.22 caliber	.22-caliber, .22 calibre, .22-calibre
.22 calibre	.22 caliber, .22-caliber, .22-calibre
.22-caliber	.22 caliber, .22 calibre, .22-calibre
.22-calibre	.22 caliber, .22-caliber, .22 calibre
.38 caliber	.38-caliber, .38 calibre, .38-calibre
.38 calibre	.38 caliber, .38-caliber, .38-calibre
.38-caliber	.38 caliber, .38 calibre, .38-calibre
.38-calibre	.38 caliber, .38-caliber, .38 calibre
.45 caliber	.45-caliber, .45 calibre, .45-calibre
.45 calibre	.45 caliber, .45-caliber, .45-calibre
.45-caliber	.45 caliber, .45 calibre, .45-calibre
.45-calibre	.45 caliber, .45-caliber, .45 calibre
0	zerozero, nought, cipher, cypher
0-10-2	Union
0-100	0-60
0-2-2	A1
0-dark-hundred	stupid o'clock, wee small hours
000	Triple O, Triple Zero, 000 Emergency
007	James Bond
1	one, i, aneone, I, ace, single, unity
1-800	1-800 number, 0800 number, 0500 number, 0808 number, Freefone number, toll-free number
1-connected	simply connected
1-dodecanol	lauryl alcohol
1-hitter	one-hitter
1-propanol	n-propanol, propyl alcohol
10	ten, xten, X, tenner, decade
10-gon	decagon
10-membered	ten-membered
10.0	ten
100	hundred, one hundred, chundred, C, century, one C
100 ml	double shot
100-gon	hectogon
1000	thousand, one thousand, m, kthousand, one thousand, M, K, chiliad, G, grand, thou, yard
1000-gon	chiliagon
10000	ten thousand, myriad
10000-gon	myriagon
100000	hundred thousand, lakh
1000000	million, one thousand thousand, meg
1000000-gon	megagon
1000000000	billion, one thousand million
1000000000000	trillion, one million millionbillion, one million million
1000th	thousandth
100th	hundredth, centesimal
101	hundred and one, one hundred one, ci
101st	hundred-and-first
105	one hundred five, cv
105th	hundred-and-fifth
1080	10, ten
1095	1095 steel, 1095 carbon steel, 1095 high carbon steel, 1095 high-carbon steel, AISI 1095, AISI 1095 steel, SAE 1095, SAE 1095 steel
10th	tenth
11	eleven, xieleven, XI
11 november	Martinmas, St Martin's Day
11-gon	hendecagon
11-plus	eleven-plus
110	one hundred ten, cx
110th	hundred-and-tenth
111	111 Emergency, Emergency 111
115	one hundred fifteen, cxv
115th	hundred-and-fifteenth
11th	eleventh
12	twelve, xii, dozentwelve, XII, dozen
12-foot	front ring
12-gon	dodecagon
12-tone music	twelve-tone music, twelve-tone system, 12-tone system
12-tone system	twelve-tone music, 12-tone music, twelve-tone system
120	one hundred twenty, cxxlong hundred, great hundred
120-cell	dodecacontachoron, dodecaplex, hecatonicosachoron, hecatonicosahedroid, hyperdodecahedron, polydodecahedron
120th	hundred-and-twentieth
125	one hundred twenty-five, cxxv
125th	hundred-and-twenty-fifth
1260	12, twelve
12th	twelfth
